theta,a,b,A2,z,phi,status
10.0,6.9,7.2,10.0,-1.8,50.0,NotYet
10.0,6.9,7.2,10.0,-1.8,60.0,NotYet
10.0,6.9,7.2,10.0,-1.8,70.0,NotYet
10.0,6.9,7.2,10.0,-1.8,80.0,NotYet
10.0,6.9,7.2,10.0,-1.8,90.0,NotYet
10.0,6.9,7.2,10.0,-1.8,100.0,NotYet
10.0,6.9,7.2,10.0,-1.8,110.0,NotYet
10.0,6.9,7.2,10.0,-1.8,120.0,NotYet
10.0,6.9,7.2,10.0,-1.8,130.0,NotYet
10.0,6.9,7.2,10.0,-1.8,140.0,NotYet
10.0,6.9,7.2,10.0,-1.8,150.0,NotYet
10.0,6.9,7.2,10.0,-1.8,160.0,NotYet
10.0,6.9,7.2,10.0,-1.8,170.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,0.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,10.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,20.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,30.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,40.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,50.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,60.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,70.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,80.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,90.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,100.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,110.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,120.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,130.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,140.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,150.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,160.0,NotYet
10.0,6.9,7.2,-10.0,-1.6,170.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,0.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,10.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,20.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,30.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,40.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,50.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,60.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,70.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,80.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,90.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,100.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,110.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,120.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,130.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,140.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,150.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,160.0,NotYet
10.0,6.9,7.2,-8.0,-1.6,170.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,0.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,10.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,20.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,30.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,40.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,50.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,60.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,70.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,80.0,NotYet
